crop_type,quantity_quintal,farmers_ahead,active_counters,is_peak_season,day_of_week,travel_distance_km,actual_processing_mins,total_wait_time_mins,travel_time_mins
Wheat,48,8,2,1,0,12.5,24.2,96.8,32
Wheat,15,3,3,1,1,5.0,11.0,11.0,15
Paddy,80,12,2,1,2,18.0,37.0,222.0,48
Wheat,30,5,2,0,4,8.5,17.0,42.5,23
Maize,60,10,3,1,5,22.0,29.0,96.7,58
Wheat,48,8,2,1,0,12.0,24.0,96.0,31
Paddy,25,2,4,0,3,4.0,15.0,7.5,12
Wheat,90,15,3,1,1,15.0,41.0,205.0,41
Maize,20,4,2,0,2,6.5,13.0,26.0,18
Wheat,55,7,2,1,0,10.0,27.0,94.5,27
Paddy,70,11,3,1,4,14.5,33.0,121.0,39
Wheat,40,6,2,1,3,9.0,21.0,63.0,24
Maize,35,4,3,0,1,11.0,19.0,25.3,29
Wheat,100,18,2,1,0,25.0,45.0,405.0,65
Paddy,50,9,3,1,2,13.0,25.0,75.0,35
Wheat,48,8,2,1,0,12.0,24.2,96.8,32
Maize,18,3,2,0,5,3.5,12.2,18.3,10
Wheat,65,13,3,1,1,16.5,31.0,134.3,44
Paddy,85,14,2,1,0,20.0,39.0,273.0,53
Wheat,32,5,3,0,2,7.0,17.8,29.7,19
Wheat,50,6,2,1,1,11.0,25.0,75.0,30
Paddy,60,8,3,1,2,14.0,29.0,77.3,38
Maize,25,3,2,0,3,5.5,15.0,22.5,16
Wheat,75,10,2,1,0,17.5,35.0,175.0,46
Paddy,95,16,3,1,4,21.0,43.0,229.3,55
Wheat,28,4,3,0,1,6.0,16.2,21.6,18
Maize,45,7,2,1,5,13.5,23.0,80.5,36
Wheat,82,12,3,1,0,19.0,37.8,151.2,49
Paddy,40,5,2,0,2,9.5,21.0,52.5,25
Wheat,62,9,2,1,3,15.0,29.8,134.1,40
Maize,30,4,3,0,4,7.5,17.0,22.7,21
Wheat,110,20,3,1,0,26.0,49.0,326.7,68
Paddy,75,11,2,1,1,16.0,35.0,192.5,43
Wheat,22,3,2,0,2,4.5,13.8,20.7,14
Maize,52,8,3,1,3,12.8,25.8,68.8,34
Wheat,68,10,2,1,0,17.0,32.2,161.0,44
Paddy,30,4,3,0,5,8.0,17.0,22.7,22
Wheat,88,13,2,1,1,20.5,40.2,261.3,52
Maize,42,6,2,1,2,10.5,21.8,65.4,28
Wheat,54,7,3,1,4,13.2,26.6,62.1,35
Paddy,65,9,2,1,0,15.5,31.0,139.5,41
Wheat,38,5,2,0,1,8.0,20.2,50.5,23
Maize,28,3,3,0,3,6.0,16.2,16.2,17
Wheat,92,14,3,1,2,22.0,41.8,195.1,57
Paddy,48,7,2,1,4,11.5,24.2,84.7,31
Wheat,58,8,2,1,0,14.0,28.2,112.8,37
Maize,50,7,3,1,1,12.0,25.0,58.3,33
Wheat,72,11,2,1,3,18.0,33.8,185.9,47
Paddy,88,15,3,1,0,23.0,40.2,201.0,59
Wheat,44,6,2,0,5,9.0,22.6,67.8,26
